DURG_CLASS,REPORTING_PERIOD,YOA,CURRENCY_CODE,IW Total Premium Paid,Total Claims Paid,Total Claims Outstandings,Total Claims Incurred,Catastrophe Paid,Catastrophe Incurred,Large Loss Paid,Large Loss Incurred,Non-Cat Incurred
DURG_1,2013Q04,2010,CCY_1,85069300.87,-74730957.53,-13875557.2,-88606514.73,-5902748.489,-7051291.298,-6531098.748,-14568539.79,-81555223.43
DURG_3,2010Q04,2005,CCY_1,32459539.77,-26469949.53,-295353.2594,-26765302.79,-698583.974,-698810.0463,0,0,-26066492.74
DURG_4,2012Q01,2002,CCY_2,2403299.337,0,0,0,0,0,0,0,0
DURG_6,2013Q03,2004,CCY_3,23033382.6,-13284310.24,-285538.6042,-13569848.85,-63342.03519,-63342.03519,-4107891.43,-4107891.43,-13506506.81
DURG_7,2012Q03,2011,CCY_2,14991716.96,-4976606.773,-3719611.879,-8696218.652,0,0,0,0,-8696218.652
DURG_8,2013Q01,2011,CCY_1,13873536.14,-9197816.513,-235230.8863,-9433047.4,-9197816.525,-9433047.411,0,0,0.01173
DURG_3,2020Q01,2008,CCY_1,19355490.55,-14366197.89,-2624.81037,-14368822.7,-42951.52986,-42951.52986,0,0,-14325871.17
DURG_7,2014Q04,2014,CCY_1,28999544.89,-3604234.332,-2004215.354,-5608449.686,-3674.72748,-3674.72748,0,0,-5604774.959
DURG_8,2002Q01,2000,CCY_3,116418.209,-184.26657,-315.04434,-499.31091,0,0,0,0,-499.31091
DURG_2,2017Q02,2001,CCY_3,403746.3654,-142353.7551,0,-142353.7551,-142353.7786,-142353.7786,0,0,0.02346
DURG_4,2007Q01,2002,CCY_2,2403299.337,0,0,0,0,0,0,0,0
DURG_6,2017Q03,2002,CCY_3,24555848.08,-6918438.996,0,-6918438.996,-734640.0585,-734640.0585,-1234168.454,-1234168.454,-6183798.937
DURG_6,2007Q01,2006,CCY_1,102643336.6,-10357504.88,-22208653.21,-32566158.08,0,0,-6811617.991,-7757126.371,-32566158.08
DURG_1,2017Q03,2010,CCY_1,84897610.52,-92074548.47,-1971139.44,-94045687.91,-7152882.811,-7152882.811,-17762660.4,-19537513.79,-86892805.1
DURG_5,2016Q03,2016,CCY_1,2784535.598,-135007.174,-349614.386,-484621.56,0,0,0,0,-484621.56
DURG_6,2017Q01,2009,CCY_1,66609499.72,-42522975.38,-779632.9368,-43302608.31,-15139960.9,-15139960.9,-2540231.487,-2540231.487,-28162647.41
DURG_9,2015Q01,2015,CCY_1,1262271.177,423.53511,-135912.554,-135489.0189,32451.64323,-271.46739,0,0,-135217.5515
DURG_10,2016Q04,2002,CCY_1,5408351.299,-2170442.521,0,-2170442.521,0,0,0,0,-2170442.521
DURG_9,2019Q04,2019,CCY_2,53600096.73,-4655495.349,-10338389.96,-14993885.31,0,0,0,0,-14993885.31
DURG_9,2016Q03,2004,CCY_3,36694062.8,-33699447.89,-69980.2416,-33769428.13,-6620478.767,-6620478.767,-1181725.536,-1181725.536,-27148949.37
DURG_8,2012Q04,2006,CCY_3,240183.7146,0,0,0,0,0,0,0,0
DURG_1,2019Q02,2016,CCY_1,85456546.17,-74158303.17,-9042361.087,-83200664.26,-21183628.52,-24402798.64,0,0,-58797865.61
DURG_2,2018Q01,2003,CCY_3,535742.4601,0,0,0,0,0,0,0,0
DURG_9,2020Q02,2000,CCY_3,5462091.063,-6987408.827,0,-6987408.827,-175197.5557,-175197.5557,0,0,-6812211.271
DURG_10,2020Q02,2008,CCY_3,1598775.141,-864470.2205,-22201.32408,-886671.5446,0,0,0,0,-886671.5446
DURG_8,2016Q04,2015,CCY_1,6801564.384,0,-163.30506,-163.30506,0,0,0,0,-163.30506
DURG_7,2020Q03,2010,CCY_1,28725326.52,-18370291.01,-84084.78069,-18454375.79,-621946.7111,-621946.7111,0,0,-17832429.08
DURG_4,2017Q01,2010,CCY_2,7084220.927,-3322544.869,-4874.95281,-3327419.822,0,0,0,0,-3327419.822
DURG_5,2017Q01,2002,CCY_1,6973670.264,-1829913.219,-225913.8177,-2055827.037,0,0,0,0,-2055827.037
DURG_8,2018Q04,2001,CCY_3,225711.7802,-3824.64861,0,-3824.64861,0,0,0,0,-3824.64861
DURG_9,2008Q04,2005,CCY_2,34766224.87,-19202528.29,-2038104.825,-21240633.12,0,0,-2549606.877,-2559782.065,-21240633.12
DURG_7,2019Q03,2009,CCY_2,6487169.393,-5506700.499,0,-5506700.499,0,0,0,0,-5506700.499
DURG_6,2012Q01,2003,CCY_3,32632724.48,-8888683.014,-16688.82231,-8905371.837,-1667443.312,-1667443.312,-1135015.152,-1135015.152,-7237928.525
DURG_5,2010Q01,2009,CCY_1,7571052.759,-1305152.831,-650563.8525,-1955716.683,0,0,0,0,-1955716.683
DURG_7,2013Q03,2011,CCY_2,15174072.64,-8647338.475,-1570706.283,-10218044.76,0,0,0,0,-10218044.76
DURG_10,2009Q02,2006,CCY_1,14631108.16,-9288735.814,-3299287.118,-12588022.93,-6240647.995,-8642439.5,0,0,-3945583.432
DURG_9,2021Q01,2012,CCY_1,19927360.43,-6499661.609,-36703.65093,-6536365.26,-1892202.569,-1892202.569,0,0,-4644162.691
DURG_9,2013Q01,2008,CCY_3,30447995.56,-35218762.21,-2303903.857,-37522666.06,-3835648.312,-3839273.457,-4893079.144,-5413812.107,-33683392.61
DURG_7,2016Q02,2007,CCY_2,3871634.802,-2565329.1,0,-2565329.1,0,0,0,0,-2565329.1
DURG_7,2004Q04,2001,CCY_1,8692478.319,-5652124.148,-306231.8139,-5958355.962,-119855.5682,-119855.5682,0,0,-5838500.393
DURG_6,2014Q04,2005,CCY_1,84637579.4,-129894230.7,0,-129894230.7,-53037530.17,-53037530.17,-40801298.35,-40801298.35,-76856700.54
DURG_8,2014Q04,2008,CCY_3,586468.8217,-359.67699,0,-359.67699,0,0,0,0,-359.67699
DURG_8,2004Q03,2000,CCY_3,118093.6987,-15229.68069,-707.47149,-15937.15218,0,0,0,0,-15937.15218
DURG_10,2003Q02,2001,CCY_2,325831.0017,-220493.8891,-2214.72957,-222708.6187,0,0,0,0,-222708.6187
DURG_5,2014Q01,2007,CCY_3,10142459.42,-7777470.836,-61902.42402,-7839373.26,0,0,-1173248.312,-1173248.312,-7839373.26
DURG_8,2007Q03,2006,CCY_1,10714630.2,0,0,0,0,0,0,0,0
DURG_10,2004Q03,2004,CCY_2,488767.423,0,0,0,0,0,0,0,0
DURG_7,2011Q03,2001,CCY_2,1162545.356,-1220100.783,-11202.47844,-1231303.261,0,0,0,0,-1231303.261
DURG_10,2015Q03,2012,CCY_2,554270.6755,-104985.283,-39553.29021,-144538.5732,0,0,0,0,-144538.5732
DURG_9,2017Q03,2012,CCY_2,76932356.45,-70719156.61,-2363083.29,-73082239.9,-3106177.524,-3132250.381,-5017028.564,-5017028.564,-69949989.52
DURG_2,2016Q03,2000,CCY_3,281579.4125,-19122.38676,0,-19122.38676,0,0,0,0,-19122.38676
DURG_4,2016Q04,2016,CCY_1,59233380.38,-5010594.237,-3071039.405,-8081633.642,-3565174.441,-5708116.399,0,0,-2373517.243
DURG_2,2017Q01,2012,CCY_1,2453814.758,0,0,0,0,0,0,0,0
DURG_9,2015Q04,2010,CCY_1,23629657.09,-30315074.05,-1090630.485,-31405704.54,-20413261.42,-20921057.84,0,0,-10484646.7
DURG_10,2015Q02,2002,CCY_2,735450.1206,-267536.7608,0,-267536.7608,0,0,0,0,-267536.7608
DURG_10,2012Q04,2001,CCY_2,331052.7754,-214508.0701,0,-214508.0701,0,0,0,0,-214508.0701
DURG_2,2017Q01,2004,CCY_1,1869720.3,-4275805.383,-3262.64085,-4279068.024,-4248608.686,-4251871.327,0,0,-27196.69707
DURG_4,2020Q03,2010,CCY_1,98185936.21,-11902306.99,-2.51022,-11902309.5,-4266300.47,-4266300.47,0,0,-7636009.03
DURG_8,2016Q04,2003,CCY_1,7478570.049,-1800.98901,0,-1800.98901,0,0,0,0,-1800.98901
DURG_5,2019Q01,2015,CCY_3,22642318.5,-19336234.99,-1901863.35,-21238098.34,-67435.00755,-256347.5021,-2264551.654,-2921834.38,-20981750.84
DURG_10,2019Q01,2007,CCY_2,744252.078,-1246239.95,-27858.75,-1274098.7,0,0,0,0,-1274098.7
DURG_10,2020Q02,2001,CCY_3,1778191.403,-1839346.286,-8988.66381,-1848334.95,-630085.9117,-630085.9117,0,0,-1218249.038
DURG_5,2018Q01,2008,CCY_3,11890210.72,-8647685.273,-158275.0718,-8805960.345,0,0,0,0,-8805960.345
DURG_9,2019Q01,2016,CCY_2,83015402.62,-58074162.96,-6660476.577,-64734639.53,-3267353.084,-3280249.375,0,0,-61454390.16
DURG_6,2018Q01,2018,CCY_2,1180434.122,0,-448671.7024,-448671.7024,0,0,0,0,-448671.7024
DURG_5,2018Q04,2006,CCY_3,10328884.25,-4832347.081,0,-4832347.081,0,0,0,0,-4832347.081
DURG_2,2010Q03,2006,CCY_1,1398808.529,0,0,0,0,0,0,0,0
DURG_5,2003Q04,2003,CCY_1,4918008.608,-232802.4596,-2051882.496,-2284684.956,-7156.43781,-196373.3493,0,0,-2088311.606
DURG_4,2018Q01,2014,CCY_1,89024555.99,-30040514.27,-220335.6631,-30260849.93,-14671852.46,-14695740.92,0,0,-15565109.01
DURG_4,2014Q03,2009,CCY_1,147924509.7,-5494497.123,0,-5494497.123,0,0,0,0,-5494497.123
DURG_1,2014Q03,2013,CCY_1,87094631.88,-27667437.04,-16293635.35,-43961072.39,-1327524.111,-1854456.485,0,0,-42106615.91
DURG_10,2021Q01,2020,CCY_1,12387518.6,-789074.1206,-1328972.461,-2118046.582,-167081.4162,-172315.8114,0,0,-1945730.77
DURG_4,2013Q03,2002,CCY_1,39672205.95,-1507518.029,0,-1507518.029,-627405.3017,-627405.3017,0,0,-880112.7268
DURG_2,2017Q04,2016,CCY_3,941883.8687,0,0,0,0,0,0,0,0
DURG_5,2013Q03,2012,CCY_3,14901545.87,-5824178.533,-4447258.617,-10271437.15,0,0,-129030,-129030,-10271437.15
DURG_9,2011Q02,2001,CCY_1,4358046.806,-2517107.903,0,-2517107.903,0,0,0,0,-2517107.903
DURG_3,2010Q02,2000,CCY_1,9028141.582,-12063541.15,-9476.94852,-12073018.1,-17622.00246,-17622.00246,0,0,-12055396.1
DURG_1,2020Q01,2008,CCY_1,89561321.65,-78582173.09,-10670.55813,-78592843.65,-12283659.81,-12283660.09,-10913139.01,-10913139.01,-66309183.56
DURG_8,2011Q01,2004,CCY_3,309562.043,-33.94662,0,-33.94662,0,0,0,0,-33.94662
DURG_8,2014Q04,2004,CCY_3,309562.043,-33.94662,0,-33.94662,0,0,0,0,-33.94662
DURG_7,2002Q01,2001,CCY_2,1106885.31,-441229.51,-297903.854,-739133.3641,0,0,0,0,-739133.3641
DURG_4,2017Q02,2000,CCY_1,18278071.21,-1797729.7,0,-1797729.7,-1600265.966,-1600265.966,0,0,-197463.7349
DURG_2,2017Q02,2015,CCY_3,821230.6253,0,-8077.01994,-8077.01994,0,-8077.01994,0,0,0
DURG_1,2015Q03,2006,CCY_1,109587964.3,-55736586.59,-184374.5564,-55920961.14,-37760.50047,-37760.67642,-5609094.414,-5609094.414,-55883200.47
DURG_9,2017Q02,2009,CCY_2,60683513.67,-46050406.21,-329739.5784,-46380145.79,0,0,-4462615.698,-4462615.698,-46380145.79
DURG_8,2005Q03,2002,CCY_3,154915.2244,0,0,0,0,0,0,0,0
DURG_10,2015Q01,2001,CCY_1,5169293.055,-4491918.364,0,-4491918.364,-2868922.121,-2868922.121,0,0,-1622996.242
DURG_9,2019Q01,2017,CCY_3,22377012.88,-11245623.98,-4596320.865,-15841944.85,-2.28735,-2.28735,-2861341.609,-2861341.609,-15841942.56
DURG_2,2020Q04,2016,CCY_1,887464.5747,0,0,0,0,0,0,0,0
DURG_9,2020Q03,2018,CCY_2,91080873.73,-61262561.83,-13663031.25,-74925593.08,-5625.2388,-31204.54482,-2174031.819,-2179705.327,-74894388.54
DURG_7,2015Q02,2011,CCY_2,14967439.13,-8937414.255,-982993.7181,-9920407.973,0,0,0,0,-9920407.973
DURG_10,2015Q04,2012,CCY_1,9060511.667,-2771129.475,-1437368.934,-4208498.409,-494167.3519,-1644915.659,0,0,-2563582.749
DURG_1,2019Q04,2001,CCY_1,27075914.44,-19118911.09,0,-19118911.09,-540996.5148,-540996.5148,0,0,-18577914.58
DURG_9,2015Q04,2005,CCY_1,14465665.98,-8321587.801,-1346.604,-8322934.405,-1075338.401,-1075338.401,0,0,-7247596.004
DURG_7,2016Q04,2013,CCY_2,11492145.21,-9921572.199,-244568.1305,-10166140.33,0,0,0,0,-10166140.33
DURG_8,2020Q02,2004,CCY_1,8936388.995,-168.80643,0,-168.80643,0,0,0,0,-168.80643
DURG_7,2018Q03,2004,CCY_2,3859810.505,-3358807.284,0,-3358807.284,0,0,0,0,-3358807.284
DURG_9,2018Q03,2009,CCY_1,27196508.22,-44536406.82,-759350.8988,-45295757.72,-25347144.23,-25347144.23,-4470183.987,-5163044.953,-19948613.49
DURG_6,2014Q02,2012,CCY_2,5184433.939,-1515331.874,-687007.5197,-2202339.394,-238210.0248,-447091.296,0,0,-1755248.098
DURG_2,2013Q04,2011,CCY_1,1424224.823,-213796.9037,-10992.60528,-224789.5089,-213796.8802,-224789.4855,0,0,-0.02346
DURG_9,2013Q04,2005,CCY_1,14456043.41,-8355415.655,-15432.58623,-8370848.241,-1075338.401,-1075338.401,0,0,-7295509.84
DURG_7,2019Q03,2010,CCY_1,28725326.52,-18293552.37,-133984.0717,-18427536.45,-621946.7111,-621946.7111,0,0,-17805589.73
DURG_7,2010Q04,2009,CCY_2,6556032.071,-2897550.723,-2200049.721,-5097600.444,0,0,0,0,-5097600.444
DURG_1,2011Q02,2006,CCY_1,109579696.6,-54683537.14,-1578199.419,-56261736.56,-37606.45038,-37606.62633,-5220115.602,-5543159.802,-56224129.94
DURG_2,2009Q02,2006,CCY_3,1255305.645,-35713.31049,-4838.30829,-40551.61878,-35713.3926,-40551.70089,0,0,0.08211
DURG_4,2021Q01,2020,CCY_2,4592655.428,-112442.2199,-869959.3913,-982401.6112,-112442.2199,-982401.6112,0,0,0
DURG_6,2009Q02,2005,CCY_3,21421828.72,-13772797.73,-3074773.416,-16847571.14,-160773.292,-161965.3415,-6831399.064,-6852289.49,-16685605.8
DURG_8,2011Q02,2004,CCY_3,309562.043,-33.94662,0,-33.94662,0,0,0,0,-33.94662
DURG_10,2009Q02,2004,CCY_2,895679.7975,-405361.1172,-5973.24444,-411334.3616,0,0,0,0,-411334.3616
DURG_9,2017Q04,2015,CCY_3,26209815.58,-20563477.33,-4698436.403,-25261913.73,-1555407.572,-2033366.48,0,0,-23228547.25
DURG_9,2006Q02,2000,CCY_2,2671697.174,-3104481.401,-256498.6314,-3360980.032,0,0,0,0,-3360980.032
DURG_6,2012Q03,2011,CCY_3,10920919.97,-2443681.071,-3543407.42,-5987088.491,-1942.80471,-1942.80471,0,0,-5985145.686
DURG_6,2010Q02,2010,CCY_3,2920902.831,-24426.2001,-8533.83306,-32960.03316,0,0,0,0,-32960.03316
DURG_8,2013Q01,2008,CCY_1,11768306.61,0,0,0,0,0,0,0,0
DURG_3,2014Q02,2007,CCY_1,28901617.71,-25197495.8,-701143.2958,-25898639.09,-2528.49534,-2528.49534,0,0,-25896110.6
DURG_3,2020Q01,2002,CCY_1,23878944.73,-16254946.31,-10553.31678,-16265499.63,0,0,0,0,-16265499.63
DURG_2,2007Q03,2001,CCY_3,412709.1646,-130439.0897,-9193.6221,-139632.7118,-130439.1014,-139632.7235,0,0,0.01173
DURG_6,2007Q03,2005,CCY_1,83867193.84,-83917412.73,-48066136.56,-131983549.3,-42792937.74,-58128880.1,-18433413.15,-34737070.18,-73854669.2
DURG_10,2015Q03,2001,CCY_1,5169293.055,-4491918.364,0,-4491918.364,-2868922.121,-2868922.121,0,0,-1622996.242
DURG_5,2006Q03,2006,CCY_3,3227920.59,-198827.7697,-98257.21302,-297084.9827,0,0,0,0,-297084.9827
DURG_1,2000Q01,2000,CCY_1,2787.61104,-2444.532,0,-2444.532,0,0,0,0,-2444.532
DURG_7,2014Q01,2008,CCY_1,25890523.06,-21388115.03,-184346.8853,-21572461.91,-6596824.436,-6683327.274,0,0,-14889134.64
DURG_6,2019Q04,2013,CCY_3,11481443.25,-8030613.796,-51089.0766,-8081702.873,0,0,-2833380.175,-2833380.175,-8081702.873
DURG_10,2020Q04,2016,CCY_1,6275452.207,-2700691.951,-24689.25708,-2725381.208,-877524.2208,-877524.2208,0,0,-1847856.987
DURG_9,2018Q01,2012,CCY_3,32947103.64,-23644144.03,-2351576.688,-25995720.72,-1652490.483,-2584588.74,-3668919.546,-4012456.936,-23411131.98
DURG_8,2020Q02,2011,CCY_1,13209555.75,-9112446.395,0,-9112446.395,-9112446.418,-9112446.418,0,0,0.02346
DURG_7,2019Q01,2012,CCY_2,15385927.35,-14577555.47,-29934.2562,-14607489.73,0,0,0,0,-14607489.73
DURG_6,2018Q03,2004,CCY_3,23034514.39,-13408619.64,0,-13408619.64,-63342.03519,-63342.03519,-4107891.43,-4107891.43,-13345277.61
DURG_5,2020Q04,2011,CCY_3,15248118.83,-13149747,-178001.2955,-13327748.3,0,0,-2053907.493,-2053907.493,-13327748.3
DURG_8,2016Q04,2005,CCY_1,9680199.649,0,0,0,0,0,0,0,0
DURG_7,2009Q03,2005,CCY_1,27218867.74,-33535839.31,-592823.4436,-34128662.75,-22076222.87,-22201828.29,0,0,-11926834.46
DURG_1,2020Q03,2011,CCY_1,76405889.17,-86273485.33,-120625.1969,-86394110.53,-18726321.64,-18738624.85,-24058836.56,-24058836.56,-67655485.67
DURG_1,2007Q04,2001,CCY_1,27086356.44,-19395983.25,-495251.3095,-19891234.56,-540770.3956,-540770.3956,0,0,-19350464.16
DURG_2,2018Q04,2014,CCY_1,1442466.674,0,0,0,0,0,0,0,0
DURG_8,2019Q01,2000,CCY_3,121932.353,-16447.67697,0,-16447.67697,0,0,0,0,-16447.67697
DURG_2,2013Q04,2000,CCY_1,403930.6789,-946.70484,-439875,-440821.7048,0,-439875,0,0,-946.70484
DURG_2,2008Q03,2001,CCY_1,790935.0264,-2119019.749,-604261.0499,-2723280.799,-2119020.031,-2723281.081,0,0,0.28152
DURG_2,2008Q01,2001,CCY_3,412709.1646,-130439.0897,-10719.09687,-141158.1866,-130439.1014,-141158.1983,0,0,0.01173
DURG_6,2013Q02,2003,CCY_1,111155195.1,-61361270.78,-1402073.023,-62763343.8,-9530189.805,-9530189.805,-19942673.07,-20423346.77,-53233154
DURG_1,2008Q04,2008,CCY_1,49355149.41,-11420481.26,-18897656.69,-30318137.95,-2401924.429,-10513570.33,-3780252.331,-5921237.573,-19804567.62
DURG_7,2013Q02,2013,CCY_2,1715672.908,-178999.0376,-1081238.603,-1260237.64,0,0,0,0,-1260237.64
DURG_6,2019Q03,2016,CCY_1,71868547.97,-67412968.17,-9013501.803,-76426469.97,-22500791.98,-24648443.98,-14728252.83,-15741846.08,-51778026
DURG_4,2012Q01,2011,CCY_2,5862623.256,-193228.5598,-5626103.981,-5819332.541,0,-3141258.2,0,0,-2678074.341
DURG_3,2002Q03,2000,CCY_1,9106661.546,-11264142.57,-580805.9178,-11844948.49,-17622.02592,-17622.02592,0,0,-11827326.46
DURG_8,2014Q03,2005,CCY_3,612897.8489,-7956.89301,0,-7956.89301,0,0,0,0,-7956.89301
DURG_8,2017Q04,2004,CCY_1,8936388.995,-168.80643,0,-168.80643,0,0,0,0,-168.80643
DURG_2,2016Q02,2008,CCY_3,2436199.02,-145.00626,0,-145.00626,-145.01799,-145.01799,0,0,0.01173
DURG_3,2012Q03,2003,CCY_1,29888282.88,-24995662.24,-992050.7913,-25987713.03,-17836.69665,-17836.69665,0,0,-25969876.33
DURG_9,2013Q01,2003,CCY_1,11881925.48,-3376978.016,-216.84078,-3377194.857,-91779.1563,-91779.1563,0,0,-3285415.701
DURG_3,2016Q02,2004,CCY_1,31045230.04,-25828762.91,0,-25828762.91,-859212.9166,-859212.9166,0,0,-24969549.99
DURG_9,2013Q01,2007,CCY_3,30715177.09,-28653835.92,-2684732.078,-31338568,-1249755.02,-1249755.443,-3332228.829,-3430485.303,-30088812.56
DURG_8,2018Q02,2002,CCY_1,8475699.157,0,0,0,0,0,0,0,0
DURG_9,2014Q04,2007,CCY_1,21682400.45,-13901922.52,-129604.5354,-14031527.05,-2715573.955,-2715735.348,0,0,-11315791.71
DURG_2,2015Q03,2005,CCY_3,1358490.83,-498278.3533,-694.55676,-498972.9101,-498278.7638,-498973.3206,0,0,0.41055
DURG_5,2017Q02,2003,CCY_1,8204415.857,-4980966.837,-185080.8197,-5166047.657,-156527.642,-156527.642,0,0,-5009520.015
DURG_6,2011Q03,2007,CCY_1,95080503.94,-56943412.24,-15614455.4,-72557867.63,-6286928.733,-6300867.985,-21650265.81,-29333502.26,-66256999.65
DURG_4,2017Q03,2006,CCY_1,88230772.97,-2580002.368,0,-2580002.368,-351759.7561,-351759.7561,0,0,-2228242.612
DURG_2,2016Q04,2003,CCY_1,517816.8735,0,0,0,0,0,0,0,0
DURG_2,2005Q04,2000,CCY_3,281579.4125,-19122.38676,0,-19122.38676,0,0,0,0,-19122.38676
DURG_10,2015Q01,2003,CCY_3,2239352.306,-802668.3343,-79235.76291,-881904.0972,24472.21689,1003.9707,0,0,-882908.0679
DURG_7,2020Q04,2020,CCY_2,10543068.67,-653571.7764,-1536311.577,-2189883.354,0,0,0,0,-2189883.354
DURG_1,2015Q04,2007,CCY_1,90745991.07,-74153084.7,-475570.3167,-74628655.02,-10445397.67,-10445397.67,-8501147.638,-8501147.638,-64183257.35
DURG_6,2012Q02,2009,CCY_2,4352842.956,-1442235.042,-56994.41607,-1499229.458,0,0,0,0,-1499229.458
DURG_9,2019Q01,2019,CCY_3,96729.99048,-165023.2587,-189492.9771,-354516.2357,0,0,0,0,-354516.2357
DURG_5,2008Q03,2002,CCY_3,7352688.745,-3692882.517,-73306.15407,-3766188.671,-263.925,-263.925,0,0,-3765924.746
DURG_7,2013Q02,2011,CCY_2,15128848.25,-8370237.073,-1847080.379,-10217317.45,0,0,0,0,-10217317.45
DURG_6,2019Q03,2014,CCY_3,7670921.135,-2937684.402,-74843.94534,-3012528.347,-41623.5531,-41623.5531,0,0,-2970904.794
DURG_2,2009Q04,2003,CCY_1,517816.8735,0,0,0,0,0,0,0,0
DURG_7,2001Q01,2001,CCY_1,132999.2091,-124374.5507,-53462.44269,-177836.9934,0,0,0,0,-177836.9934
DURG_5,2017Q04,2006,CCY_1,13289489.89,-5814345.719,-157319.851,-5971665.57,0,0,0,0,-5971665.57
DURG_9,2011Q02,2007,CCY_1,21765892.06,-12525839.01,-2145478.887,-14671317.9,-2621593.054,-3086767.986,0,0,-11584549.91
DURG_8,2021Q01,2006,CCY_1,10533255,0,0,0,0,0,0,0,0
DURG_2,2016Q02,2011,CCY_3,3135764.408,-8550028.612,-1500567.229,-10050595.84,-8254492.975,-9719159.132,0,0,-331436.71
DURG_7,2013Q01,2001,CCY_2,1162545.356,-1220100.783,-2672.24649,-1222773.029,0,0,0,0,-1222773.029
DURG_9,2012Q03,2006,CCY_2,42445857.45,-30857627.47,-901709.8034,-31759337.27,0,0,-2147881.004,-2147881.004,-31759337.27
DURG_7,2011Q04,2008,CCY_1,26013144.27,-21035251.55,-613026.4214,-21648277.97,-6153787.263,-6371092.727,0,0,-15277185.24
DURG_3,2010Q02,2008,CCY_1,18860083.63,-12757711.65,-1871410.135,-14629121.78,-43790.64714,-43790.64714,0,0,-14585331.13
DURG_5,2018Q02,2018,CCY_3,2326716.654,-295245.6484,-412602.8204,-707848.4687,0,0,0,0,-707848.4687
DURG_9,2011Q01,2006,CCY_3,32350799.19,-26227698.88,-3437395.727,-29665094.61,-2374080.811,-2418457.254,0,0,-27246637.36
DURG_9,2018Q02,2009,CCY_1,27196508.22,-44542657.51,-759754.0237,-45302411.53,-25347144.23,-25347144.23,-4470183.987,-5163044.953,-19955267.3
DURG_9,2014Q04,2015,CCY_2,0,0,0,0,0,0,0,0,0
DURG_9,2003Q01,2001,CCY_2,6376574.297,-4012867.65,-1943338.882,-5956206.533,-67.90497,-67.90497,0,0,-5956138.628
DURG_5,2003Q03,2002,CCY_3,6934066.218,-1435001.163,-535283.2658,-1970284.429,0,0,0,0,-1970284.429
DURG_10,2017Q03,2000,CCY_2,423640.7269,-246930.9983,0,-246930.9983,0,0,0,0,-246930.9983
DURG_10,2007Q01,2002,CCY_2,735450.1206,-267536.7608,0,-267536.7608,0,0,0,0,-267536.7608
DURG_4,2017Q03,2017,CCY_2,4534596.843,0,-8811.27102,-8811.27102,0,0,0,0,-8811.27102
DURG_8,2017Q03,2010,CCY_1,11157709.86,0,-13337.57304,-13337.57304,0,0,0,0,-13337.57304
DURG_7,2019Q02,2016,CCY_1,45106350.89,-48680313.52,-2495702.999,-51176016.52,-24204852.74,-25735968.92,0,0,-25440047.6
DURG_6,2019Q02,2014,CCY_3,7671907.933,-2939688.015,-86029.95486,-3025717.97,-41623.5531,-41623.5531,0,0,-2984094.417
DURG_10,2019Q04,2007,CCY_3,1810123.642,-603914.534,-56544.14829,-660458.6822,-24610.30245,-24610.30245,0,0,-635848.3798
DURG_6,2015Q02,2011,CCY_3,11583864.92,-7199328.86,-1085179.05,-8284507.91,-2589.15117,-2589.15117,-1496902.801,-1496902.801,-8281918.759
DURG_10,2017Q01,2010,CCY_1,8503435.011,-2387372.179,-4286.54082,-2391658.72,0,0,0,0,-2391658.72
DURG_9,2000Q01,2000,CCY_3,93.21831,-127.90392,0,-127.90392,0,0,0,0,-127.90392
DURG_10,2010Q03,2004,CCY_2,895679.7975,-406225.4774,0,-406225.4774,0,0,0,0,-406225.4774
DURG_7,2007Q02,2000,CCY_1,4215017.896,-3017068.338,-54967.70667,-3072036.045,-20408.71029,-20408.71029,0,0,-3051627.335
DURG_6,2015Q04,2000,CCY_2,698595.575,-393978.1844,-647.27313,-394625.4576,0,0,0,0,-394625.4576
DURG_1,2020Q03,2008,CCY_1,89561321.65,-78582154.99,-7702.28163,-78589857.28,-12283659.81,-12283660.09,-10913139.01,-10913139.01,-66306197.18
DURG_10,2004Q02,2001,CCY_2,319391.2669,-220493.8891,-8668.71633,-229162.6054,0,0,0,0,-229162.6054
DURG_7,2009Q01,2009,CCY_2,35229.07263,0,0,0,0,0,0,0,0
DURG_4,2005Q01,2005,CCY_2,3491200.193,0,0,0,0,0,0,0,0
DURG_6,2020Q04,2001,CCY_2,2192156.557,-775466.8397,0,-775466.8397,0,0,0,0,-775466.8397
DURG_6,2015Q01,2005,CCY_1,84638706.87,-129894516,0,-129894516,-53037815.52,-53037815.52,-40801298.35,-40801298.35,-76856700.54
DURG_2,2012Q02,2002,CCY_1,862064.6321,-11619.16323,0,-11619.16323,-11619.16323,-11619.16323,0,0,0
DURG_9,2004Q02,2002,CCY_3,21581535.51,-11980443.59,-5759283.352,-17739726.95,-57621.1617,-91470.12945,-1997589.065,-2103341.49,-17648256.82
DURG_9,2008Q03,2004,CCY_2,31612067.17,-14388453.9,-1560679.28,-15949133.18,0,0,0,0,-15949133.18
DURG_8,2008Q03,2007,CCY_3,367466.1206,0,0,0,0,0,0,0,0
DURG_6,2013Q04,2011,CCY_2,4559394.426,-2239270.431,-99145.22094,-2338415.652,0,0,0,0,-2338415.652
DURG_4,2010Q04,2008,CCY_2,5455380.318,0,0,0,0,0,0,0,0
DURG_4,2019Q03,2013,CCY_1,109750486.7,-4783862.076,-8140.37367,-4792002.449,-415254.6919,-415254.6919,0,0,-4376747.757
DURG_6,2006Q04,2004,CCY_1,70767063.82,-37148335.07,-17267834.21,-54416169.27,-20620324.14,-24583018.15,-2573415.047,-6678888.419,-29833151.12
