DURG_CLASS,REPORTING_PERIOD,YOA,CURRENCY_CODE,IW Total Premium Paid,Total Claims Paid,Total Claims Outstandings,Total Claims Incurred,Catastrophe Paid,Catastrophe Incurred,Large Loss Paid,Large Loss Incurred,Non-Cat Incurred
DURG_9,2018Q04,2016,CCY_2,83082747.97,-57225574.44,-8182694.736,-65408269.18,-3267173.92,-3280213.68,0,0,-62128055.5
DURG_1,2020Q04,2004,CCY_1,75181204.78,-150214252.7,-177931.2908,-150392184,-118506596.2,-118681362.5,-2159511.533,-2159511.533,-31710821.59
DURG_1,2019Q02,2002,CCY_1,47039076.57,-24682500.64,0,-24682500.64,-1326746.565,-1326746.565,0,0,-23355754.07
DURG_2,2018Q04,2001,CCY_1,821255.012,-2344616.599,-894864.105,-3239480.704,-2344616.881,-3239480.986,0,0,0.28152
DURG_9,2008Q02,2006,CCY_1,19393464.69,-5076085.102,-4625501.563,-9701586.665,0,0,-1354815,-1354815,-9701586.665
DURG_10,2013Q02,2013,CCY_2,52591.2204,0,0,0,0,0,0,0,0
DURG_10,2000Q04,2000,CCY_1,2251309.094,-589477.2265,-537167.9484,-1126645.175,-480657.1602,-661934.3749,0,0,-464710.8
DURG_4,2000Q02,2000,CCY_2,705247.1184,0,0,0,0,0,0,0,0
DURG_5,2013Q04,2004,CCY_1,9676398.203,-2493922.702,-82500.609,-2576423.311,0,0,0,0,-2576423.311
DURG_10,2008Q01,2004,CCY_3,2102799.06,-1293606.793,-112344.4621,-1405951.255,-290273.6533,-292956.6679,0,0,-1112994.587
DURG_9,2001Q01,2000,CCY_3,2428439.109,-1773164.23,-820312.3422,-2593476.572,-15017.47326,-58167.04071,0,0,-2535309.532
DURG_8,2011Q01,2000,CCY_1,3789724.541,-1482687.038,-46498978.05,-47981665.09,-1003519.682,-47502497.74,0,0,-479167.3564
DURG_8,2020Q01,2020,CCY_3,68277.89016,0,0,0,0,0,0,0,0
DURG_7,2011Q01,2005,CCY_2,3866352.912,-4101873.659,-325903.2702,-4427776.929,0,0,0,0,-4427776.929
DURG_7,2002Q02,2002,CCY_2,125812.3085,-14388.31125,-39148.875,-53537.18625,0,0,0,0,-53537.18625
DURG_7,2007Q03,2000,CCY_2,503498.0039,-526460.5463,-4659.46098,-531120.0073,0,0,0,0,-531120.0073
DURG_9,2014Q01,2002,CCY_2,12097218.27,-11272204.84,-48764.1906,-11320969.04,0,0,0,0,-11320969.04
DURG_4,2017Q03,2008,CCY_1,107863059.9,-41531252.33,-7677.85977,-41538930.19,-28955636.08,-28960189.07,0,0,-12578741.12
DURG_6,2007Q01,2002,CCY_3,24558485.09,-6242841.001,-793964.557,-7036805.558,-734640.0585,-850115.7737,-1234168.454,-1234168.454,-6186689.784
DURG_10,2017Q03,2016,CCY_1,6242187.616,-2041597.925,-719421.7794,-2761019.705,-877524.2208,-877524.2208,0,0,-1883495.484
DURG_5,2016Q03,2008,CCY_3,11891661.75,-8624962.996,-187858.4837,-8812821.48,0,0,0,0,-8812821.48
DURG_8,2019Q01,2007,CCY_1,10900756.01,0,0,0,0,0,0,0,0
DURG_1,2015Q01,2008,CCY_1,89547455.77,-78172392.59,-425867.5032,-78598260.1,-12291843.89,-12303579.45,-10913139.01,-10913139.01,-66294680.64
DURG_5,2009Q01,2005,CCY_3,9797283.712,-5560938.224,-434323.9886,-5995262.213,0,0,0,0,-5995262.213
DURG_7,2020Q04,2017,CCY_1,45493553.82,-58675382.88,-2561587.864,-61236970.74,-32014797.13,-33483916.34,0,0,-27753054.4
DURG_5,2008Q01,2000,CCY_1,3968395.631,-4770102.375,-21780.56898,-4791882.944,-2192604.139,-2192604.139,0,0,-2599278.805
DURG_7,2010Q01,2004,CCY_2,3859810.505,-3269074.321,-123583.1745,-3392657.495,0,0,0,0,-3392657.495
DURG_9,2010Q01,2003,CCY_2,32223341.1,-16726901.27,-822075.4551,-17548976.72,0,0,0,0,-17548976.72
DURG_4,2009Q02,2006,CCY_1,88248490.57,-2572325.564,-71588.70612,-2643914.27,-349914.1814,-377002.81,0,0,-2266911.46
DURG_2,2021Q01,2011,CCY_1,1424224.823,-218234.6324,0,-218234.6324,-218234.6442,-218234.6442,0,0,0.01173
DURG_6,2011Q03,2003,CCY_3,32632724.48,-8936061.974,-25179.72357,-8961241.698,-1721635.361,-1721635.361,-1135015.152,-1135015.152,-7239606.337
DURG_9,2018Q04,2002,CCY_2,12097218.27,-11273528.06,-53702.5206,-11327230.58,0,0,0,0,-11327230.58
DURG_9,2018Q01,2011,CCY_1,19245165.55,-10182269.51,-127785.0951,-10310054.61,-694355.6022,-694355.6022,0,0,-9615699.007
DURG_6,2012Q02,2004,CCY_2,6667465.253,-2676266.607,-2471.54619,-2678738.154,-28551.71148,-28551.71148,0,0,-2650186.442
DURG_7,2009Q01,2003,CCY_1,24874447.38,-26179559.68,-560933.9723,-26740493.65,-12773693.81,-12934046.39,0,0,-13806447.26
DURG_9,2010Q03,2003,CCY_1,11881711.27,-3379525.925,0,-3379525.925,-91779.1563,-91779.1563,0,0,-3287746.768
DURG_6,2015Q01,2015,CCY_3,294211.2149,0,0,0,0,0,0,0,0
DURG_9,2012Q02,2005,CCY_2,33933159.19,-20470609.95,-253311.1447,-20723921.09,0,0,-2568523.777,-2576827.151,-20723921.09
DURG_6,2007Q02,2003,CCY_3,32531453.08,-8669911.101,-550781.6222,-9220692.723,-1626381.837,-1862124.245,-1135015.152,-1135015.152,-7358568.478
DURG_2,2015Q01,2011,CCY_1,1424224.823,-218234.6324,0,-218234.6324,-218234.6324,-218234.6324,0,0,0
DURG_6,2015Q02,2001,CCY_2,2192156.557,-775466.8397,0,-775466.8397,0,0,0,0,-775466.8397
DURG_10,2019Q04,2006,CCY_1,15012960.68,-12058950.11,-47714.4729,-12106664.59,-7613891.294,-7613891.294,0,0,-4492773.293
DURG_3,2008Q03,2007,CCY_1,23793373.03,-13012161.25,-4910902.527,-17923063.77,0,-1.66566,0,0,-17923062.11
DURG_8,2009Q04,2007,CCY_1,10921648.94,0,0,0,0,0,0,0,0
DURG_7,2009Q02,2006,CCY_2,3737231.958,-2294760.334,-242364.8612,-2537125.195,0,0,0,0,-2537125.195
DURG_10,2017Q04,2006,CCY_2,743104.5908,-60478.9416,0,-60478.9416,0,0,0,0,-60478.9416
DURG_5,2010Q02,2009,CCY_1,9389510.801,-1691855.154,-925640.9623,-2617496.117,0,0,0,0,-2617496.117
DURG_7,2020Q01,2010,CCY_2,13067669.48,-10967156.09,-1802.60775,-10968958.7,0,0,0,0,-10968958.7
DURG_7,2020Q01,2015,CCY_1,45679604.21,-27630231.84,-236382.7606,-27866614.6,-6792473.763,-6866114.785,0,0,-21000499.82
DURG_9,2003Q03,2000,CCY_3,5433531.645,-6012677.04,-1263587.33,-7276264.37,-136365.508,-232726.9888,0,0,-7043537.381
DURG_9,2014Q01,2004,CCY_1,13101275.45,-30840743.96,-14280.36006,-30855024.32,-23907717.24,-23907717.24,-3271373.518,-3271373.518,-6947307.077
DURG_8,2015Q03,2004,CCY_1,8936388.995,-168.80643,0,-168.80643,0,0,0,0,-168.80643
DURG_5,2018Q04,2005,CCY_1,9901032.23,-3692218.693,-25818.76224,-3718037.455,0,0,-238503.3569,-238503.3569,-3718037.455
DURG_10,2019Q04,2017,CCY_2,758149.4184,-1371499.94,-1001.67162,-1372501.611,-953968.2202,-953968.2202,0,0,-418533.3911
DURG_2,2005Q01,2004,CCY_1,1354841.885,-505795.5473,-2860019.392,-3365814.939,-505795.559,-3365814.951,0,0,0.01173
DURG_2,2009Q03,2000,CCY_1,403930.6789,-946.70484,-439875,-440821.7048,0,-439875,0,0,-946.70484
DURG_10,2020Q02,2015,CCY_2,433907.1279,-95416.88736,-985.47249,-96402.35985,0,0,0,0,-96402.35985
DURG_6,2018Q04,2000,CCY_3,6376472.21,-3261103.622,0,-3261103.622,-579778.6514,-579778.6514,0,0,-2681324.97
DURG_6,2004Q02,2002,CCY_2,4500317.067,-251380.0583,-41287.8405,-292667.8988,0,0,0,0,-292667.8988
DURG_5,2015Q04,2013,CCY_3,18690071.46,-12604261.88,-3286139.418,-15890401.3,0,0,-44472.31263,-690627.8903,-15890401.3
DURG_5,2013Q02,2001,CCY_3,3991296.849,-2727319.086,-10179.09459,-2737498.181,-52597.13232,-52597.13232,0,0,-2684901.049
DURG_9,2013Q02,2000,CCY_3,5462091.063,-6995679.591,-39708.0441,-7035387.635,-175197.5557,-175197.5557,0,0,-6860190.079
DURG_10,2014Q03,2000,CCY_3,1210401.68,-789110.2138,0,-789110.2138,0,0,0,0,-789110.2138
DURG_7,2012Q01,2005,CCY_1,27208634.57,-33777705.1,-61154.63652,-33838859.74,-22161818.38,-22165669.91,0,0,-11673189.83
DURG_8,2017Q04,2001,CCY_1,13679412.61,-2179424.018,-11278.8642,-2190702.882,-2179424.053,-2190702.917,0,0,0.03519
DURG_1,2011Q02,2002,CCY_1,47040586.92,-24359524.84,-105711.8274,-24465236.67,-1326746.565,-1333106.887,0,0,-23132129.78
DURG_2,2009Q02,2005,CCY_1,4259200.419,-13300565.86,-228700.5255,-13529266.39,-13241170.12,-13469870.64,0,0,-59395.74648
DURG_2,2017Q04,2008,CCY_1,3993735.387,-1543440.356,-932.7696,-1544373.125,-1376176.409,-1376321.04,0,0,-168052.0854
DURG_5,2021Q01,2000,CCY_3,3583682.106,-3197681.658,0,-3197681.658,-182103.9803,-182103.9803,0,0,-3015577.678
DURG_2,2011Q04,2009,CCY_1,2877203.759,-94678.88268,-67.94016,-94746.82284,-94678.91787,-94746.85803,0,0,0.03519
DURG_10,2012Q03,2003,CCY_1,8748532.399,-2132008.355,-26547.25389,-2158555.609,-208703.1277,-208703.1277,0,0,-1949852.481
DURG_4,2004Q04,2002,CCY_2,2403299.337,0,0,0,0,0,0,0,0
DURG_2,2014Q04,2000,CCY_1,403930.6789,-946.70484,-439875,-440821.7048,0,-439875,0,0,-946.70484
DURG_2,2020Q01,2019,CCY_3,1523378.478,115160.2251,-569258.4366,-454098.2115,0,-364072.1858,0,0,-90026.02569
DURG_7,2018Q02,2007,CCY_2,3871634.802,-2565329.1,0,-2565329.1,0,0,0,0,-2565329.1
DURG_6,2020Q01,2017,CCY_1,65847485.22,-130508826.7,-26168982.21,-156677808.9,-103595033.6,-115635582.1,-8364837.531,-8623823.52,-41042226.78
DURG_9,2020Q01,2018,CCY_1,17527770.68,-3773711.355,-849001.7405,-4622713.095,5095.41816,4905.41562,0,0,-4627618.511
DURG_9,2006Q03,2000,CCY_2,2671914.883,-3120070.137,-256704.622,-3376774.759,0,0,0,0,-3376774.759
DURG_1,2014Q01,2004,CCY_1,75184370.42,-149723958.6,-708817.3667,-150432775.9,-118052013.8,-118702215.3,-2159511.533,-2159511.533,-31730560.51
DURG_6,2015Q03,2012,CCY_2,5177723.828,-1676362.088,-493374.9318,-2169737.02,-337822.088,-337822.088,0,0,-1831914.932
DURG_2,2017Q03,2014,CCY_3,1179897.838,0,0,0,0,0,0,0,0
DURG_2,2016Q01,2013,CCY_1,1219901.736,0,0,0,0,0,0,0,0
DURG_10,2007Q02,2001,CCY_3,1776550.927,-1507014.061,-187993.2145,-1695007.275,-461480.663,-492294.5284,0,0,-1202712.747
DURG_10,2009Q01,2001,CCY_2,330241.3409,-214508.0701,0,-214508.0701,0,0,0,0,-214508.0701
DURG_7,2020Q04,2012,CCY_1,47087559.18,-35452760.76,-49112.70063,-35501873.46,-11663856.93,-11677556.19,0,0,-23824317.27
DURG_8,2020Q04,2010,CCY_1,10927679.54,0,0,0,0,0,0,0,0
DURG_4,2018Q03,2005,CCY_2,5173620.264,-2354472.38,0,-2354472.38,0,0,0,0,-2354472.38
DURG_10,2015Q02,2003,CCY_1,8748532.399,-2140956.679,-27557.57052,-2168514.25,-208703.1277,-208703.1277,0,0,-1959811.122
DURG_6,2006Q01,2006,CCY_3,3332533.269,0,-4529828.293,-4529828.293,0,0,0,-2407961.356,-4529828.293
DURG_5,2019Q04,2008,CCY_3,11891501.12,-8659692.957,-25593.52278,-8685286.48,0,0,0,0,-8685286.48
DURG_7,2018Q04,2008,CCY_2,5210524.064,-5026419.309,0,-5026419.309,0,0,0,0,-5026419.309
DURG_3,2015Q04,2005,CCY_1,32489520.03,-26413977.56,-9372.22308,-26423349.78,-698583.974,-698583.974,0,0,-25724765.81
DURG_3,2018Q04,2018,CCY_1,17508700.87,-6102149.809,-3135644.68,-9237794.488,-12627.79074,-12627.79074,0,0,-9225166.698
DURG_6,2013Q04,2005,CCY_3,21154102.64,-14326981.6,-364242.5523,-14691224.15,-83211.03645,-83211.03645,-6831399.064,-6831399.064,-14608013.12
DURG_5,2014Q02,2009,CCY_3,13623035.97,-9344392.271,-507542.2498,-9851934.521,0,0,-39254.93766,-220434.7934,-9851934.521
DURG_6,2006Q04,2002,CCY_3,24993799.34,-6240163.534,-781142.8342,-7021306.368,-734640.0585,-850115.7737,-1234168.454,-1234168.454,-6171190.595
DURG_9,2012Q01,2009,CCY_1,27297492.89,-32147280.01,-13415554.1,-45562834.11,-22952705.62,-28690665.19,-2190900.603,-5401108.353,-16872168.92
DURG_9,2010Q01,2000,CCY_2,2624250.661,-3171012.506,-68880.84735,-3239893.354,0,0,0,0,-3239893.354
DURG_10,2002Q04,2001,CCY_1,4652225.4,-2163880.642,-1770049.422,-3933930.064,-1714277.237,-2765104.654,0,0,-1168825.41
DURG_2,2016Q02,2002,CCY_1,859597.5316,-11619.16323,0,-11619.16323,-11619.16323,-11619.16323,0,0,0
DURG_9,2010Q02,2001,CCY_1,4358046.806,-2517107.903,0,-2517107.903,0,0,0,0,-2517107.903
DURG_4,2011Q01,2010,CCY_1,97761046.56,-2060609.393,-4750484.56,-6811093.953,0,0,0,0,-6811093.953
DURG_6,2020Q01,2010,CCY_3,11788897.5,-8426075.614,-21126.12882,-8447201.743,-2278807.956,-2278807.956,-1722898.248,-1722898.248,-6168393.787
DURG_6,2020Q01,2012,CCY_2,5179915.332,-1980168.889,0,-1980168.889,-287268.2513,-287268.2513,0,0,-1692900.638
DURG_1,2020Q01,2014,CCY_1,76438974.72,-44222488.45,-227908.9499,-44450397.4,-184833.7741,-184833.7741,0,0,-44265563.63
DURG_4,2017Q02,2015,CCY_1,74881725.55,-3194284.779,-1034446.413,-4228731.192,-368796.1853,-872200.2788,0,0,-3356530.914
DURG_4,2015Q03,2012,CCY_2,6493276.641,-264675.1804,-7607.99589,-272283.1763,0,0,0,0,-272283.1763
DURG_10,2019Q02,2018,CCY_1,6545763.183,-3317500.629,-952085.7194,-4269586.348,-951081.0919,-951081.0919,0,0,-3318505.257
DURG_9,2016Q01,2005,CCY_2,33962388.43,-20594718.53,-139029.2033,-20733747.73,0,0,-2428032.312,-2428032.312,-20733747.73
DURG_9,2016Q01,2001,CCY_1,4358046.806,-2517107.903,0,-2517107.903,0,0,0,0,-2517107.903
DURG_9,2005Q03,2005,CCY_1,4903631.264,11247.82662,-1657832.278,-1646584.451,0,0,0,0,-1646584.451
DURG_5,2017Q01,2008,CCY_3,11889539.53,-8640262.2,-157339.0999,-8797601.3,0,0,0,0,-8797601.3
DURG_6,2005Q04,2000,CCY_1,30744511.03,-18372516.4,-1709009.142,-20081525.54,-380007.8483,-556325.5251,0,0,-19525200.02
DURG_9,2018Q01,2008,CCY_1,25444169.98,-24287344.35,-576477.4188,-24863821.77,-6210439.773,-6210440.477,-4943397.067,-4943397.067,-18653381.29
DURG_9,2018Q03,2012,CCY_3,32942797.19,-23651620.35,-2031088.232,-25682708.59,-1652490.483,-2588120.455,-3686829.802,-3772341.256,-23094588.13
DURG_6,2019Q04,2000,CCY_2,698595.575,-393978.1844,-647.27313,-394625.4576,0,0,0,0,-394625.4576
DURG_9,2020Q03,2007,CCY_3,30683233.53,-29606330.71,-184578.6701,-29790909.38,-1244671.039,-1244671.461,-3400388.023,-3421808.95,-28546237.92
DURG_6,2020Q02,2013,CCY_1,119293057.3,-76585095.9,-3382300.035,-79967395.94,-15427126.56,-15427126.56,-20304692.61,-22652751.78,-64540269.38
DURG_9,2020Q03,2015,CCY_3,26225949.21,-22388106.89,-419134.4246,-22807241.31,-1947078.489,-1987805.659,0,0,-20819435.65
DURG_2,2019Q03,2001,CCY_1,835904.1398,-2522181.797,-717298.884,-3239480.681,-2522182.078,-3239480.962,0,0,0.28152
DURG_9,2013Q02,2002,CCY_1,7678330.882,-4193660.076,-18849.12468,-4212509.201,-80837.15424,-80837.15424,0,0,-4131672.046
DURG_5,2014Q03,2001,CCY_1,4777469.624,-5977789.792,0,-5977789.792,-3007962.879,-3007962.879,0,0,-2969826.913
DURG_6,2012Q01,2006,CCY_2,8685574.428,-7029391.271,-2576.86986,-7031968.141,0,0,-4236249.864,-4236249.864,-7031968.141
DURG_10,2009Q04,2004,CCY_1,9605173.807,-11766904.33,-778958.5674,-12545862.9,-6321626.836,-6321626.836,0,0,-6224236.059
DURG_10,2010Q01,2004,CCY_1,9605173.807,-10779853.86,-738965.1324,-11518818.99,-6321626.836,-6321626.836,0,0,-5197192.156
DURG_10,2010Q01,2009,CCY_3,907857.1445,-75933.60369,-88497.14922,-164430.7529,0,0,0,0,-164430.7529
DURG_6,2011Q02,2009,CCY_1,66767128.83,-29705754.42,-13612944.1,-43318698.52,-11743234.92,-15870767,-1509314.83,-1779191.996,-27447931.52
DURG_8,2017Q04,2003,CCY_3,548279.8243,-38.75592,0,-38.75592,0,0,0,0,-38.75592
DURG_8,2021Q01,2004,CCY_3,309562.043,-33.94662,0,-33.94662,0,0,0,0,-33.94662
DURG_9,2013Q03,2012,CCY_1,20025694.11,-3514162.923,-1776198.324,-5290361.247,-1836725.628,-1905342.855,0,0,-3385018.392
DURG_10,2013Q01,2003,CCY_3,2239352.306,-802668.3343,-82379.21523,-885047.5495,24472.21689,233.84928,0,0,-885281.3988
DURG_6,2011Q04,2010,CCY_2,4225933.048,-182822.5249,-75917.60397,-258740.1289,0,0,0,0,-258740.1289
DURG_10,2018Q02,2000,CCY_3,1210401.68,-789110.2138,0,-789110.2138,0,0,0,0,-789110.2138
DURG_1,2011Q01,2007,CCY_1,91139366.83,-71004810.27,-5624038.235,-76628848.51,-8927616.397,-9982888.546,-7569026.836,-8617642.667,-66645959.96
DURG_9,2011Q01,2001,CCY_3,10350705.65,-9945701.877,-44399.28165,-9990101.158,-1352994.856,-1352994.856,0,0,-8637106.303
DURG_10,2014Q04,2009,CCY_2,796819.0877,-344678.273,-49.75866,-344728.0317,0,0,0,0,-344728.0317
