,0,reporting_year,reporting_number
DURG_1,13374.01563,2012,1
DURG_2,0.62301898,2012,1
DURG_3,3767.710938,2012,1
DURG_4,11249.42383,2012,1
DURG_5,2517.302734,2012,1
DURG_6,31723.00391,2012,1
DURG_7,11037.93262,2012,1
DURG_8,260.4584961,2012,1
DURG_9,4141.453613,2012,1
DURG_10,1955.245728,2012,1
DURG_1,8713.929688,2012,1
DURG_2,0.18226774,2012,1
DURG_3,14380.89551,2012,1
DURG_4,1855.897949,2012,1
DURG_5,9216.955078,2012,1
DURG_6,14017.49023,2012,1
DURG_7,5577.996094,2012,1
DURG_8,0.962123811,2012,1
DURG_9,2328.536621,2012,1
DURG_10,890.7764893,2012,1
DURG_1,31062.64258,2012,1
DURG_2,1.24844861,2012,1
DURG_3,9956.880859,2012,1
DURG_4,1748.612061,2012,1
DURG_5,7354.20459,2012,1
DURG_6,21977.66602,2012,1
DURG_7,11980.49609,2012,1
DURG_8,102.8392181,2012,1
DURG_9,1707.225586,2012,1
DURG_10,110.8079834,2012,1
DURG_1,49510.94141,2012,1
DURG_2,0.766986549,2012,1
DURG_3,6811.238281,2012,1
DURG_4,20329.81055,2012,1
DURG_5,10004.88867,2012,1
DURG_6,10848.31055,2012,1
DURG_7,16790.44531,2012,1
DURG_8,0.489423603,2012,1
DURG_9,43.75512695,2012,1
DURG_10,3200.150146,2012,1
DURG_1,13371.94531,2012,2
DURG_2,0.082482852,2012,2
DURG_3,4665.144531,2012,2
DURG_4,9178.924805,2012,2
DURG_5,2731.297363,2012,2
DURG_6,29154.25195,2012,2
DURG_7,12339.93457,2012,2
DURG_8,265.8594666,2012,2
DURG_9,9382.648438,2012,2
DURG_10,1898.400269,2012,2
DURG_1,7749.828125,2012,2
DURG_2,0.27057156,2012,2
DURG_3,15429.46777,2012,2
DURG_4,2838.064453,2012,2
DURG_5,9013.18457,2012,2
DURG_6,17145.82422,2012,2
DURG_7,7132.652344,2012,2
DURG_8,0.022277707,2012,2
DURG_9,2232.583008,2012,2
DURG_10,565.817627,2012,2
DURG_1,4281.707031,2012,2
DURG_2,0.31844452,2012,2
DURG_3,13795.89258,2012,2
DURG_4,1775.38208,2012,2
DURG_5,7470.484375,2012,2
DURG_6,22178.76953,2012,2
DURG_7,11648.3125,2012,2
DURG_8,104.3677139,2012,2
DURG_9,2859.80957,2012,2
DURG_10,105.8225098,2012,2
DURG_1,48277.875,2012,2
DURG_2,1.131832361,2012,2
DURG_3,5864.207031,2012,2
DURG_4,20417.79688,2012,2
DURG_5,9906.713867,2012,2
DURG_6,11762.25391,2012,2
DURG_7,16689.16406,2012,2
DURG_8,2.499435663,2012,2
DURG_9,265.934082,2012,2
DURG_10,3230.582031,2012,2
DURG_1,12122.28516,2012,3
DURG_2,0.048564564,2012,3
DURG_3,2281.824219,2012,3
DURG_4,10416.25781,2012,3
