,0,reporting_year,reporting_number
DURG_1,9201.19921875,2016,1
DURG_2,0.009425334632396698,2016,1
DURG_3,104.873046875,2016,1
DURG_4,11242.71875,2016,1
DURG_5,336.39599609375,2016,1
DURG_6,8806.16796875,2016,1
DURG_7,5133.666015625,2016,1
DURG_8,263.07080078125,2016,1
DURG_9,787.97216796875,2016,1
DURG_10,764.633056640625,2016,1
DURG_1,17108.19140625,2016,1
DURG_2,176.6123809814453,2016,1
DURG_3,6931.9990234375,2016,1
DURG_4,12748.609375,2016,1
DURG_5,4287.97216796875,2016,1
DURG_6,2595.42578125,2016,1
DURG_7,1535.05078125,2016,1
DURG_8,682.95751953125,2016,1
DURG_9,970.3017578125,2016,1
DURG_10,1043.4034423828125,2016,1
DURG_1,4238.4296875,2016,1
DURG_2,0.0813373252749443,2016,1
DURG_3,4821.0390625,2016,1
DURG_4,1395.3262939453125,2016,1
DURG_5,6120.2138671875,2016,1
DURG_6,24166.86328125,2016,1
DURG_7,8175.89453125,2016,1
DURG_8,107.17900848388672,2016,1
DURG_9,1844.8759765625,2016,1
DURG_10,95.152099609375,2016,1
DURG_1,24574.75,2016,1
DURG_2,0.5356242656707764,2016,1
DURG_3,3945.08203125,2016,1
DURG_4,19945.7890625,2016,1
DURG_5,8904.25390625,2016,1
DURG_6,6377.85546875,2016,1
DURG_7,14815.482421875,2016,1
DURG_8,1.8416157960891724,2016,1
DURG_9,4578.27587890625,2016,1
DURG_10,2766.77294921875,2016,1
DURG_1,1370.05859375,2016,2
DURG_2,0.2259736806154251,2016,2
DURG_3,1269.36328125,2016,2
DURG_4,11763.2666015625,2016,2
DURG_5,261.2568359375,2016,2
DURG_6,8995.1328125,2016,2
DURG_7,6119.810546875,2016,2
DURG_8,264.12451171875,2016,2
DURG_9,985.14013671875,2016,2
DURG_10,441.697021484375,2016,2
DURG_1,20547.92578125,2016,2
DURG_2,177.4381561279297,2016,2
DURG_3,5443.9716796875,2016,2
DURG_4,9482.2431640625,2016,2
DURG_5,4293.2666015625,2016,2
DURG_6,1890.43359375,2016,2
DURG_7,445.251953125,2016,2
DURG_8,735.5701904296875,2016,2
DURG_9,934.706787109375,2016,2
DURG_10,388.38330078125,2016,2
DURG_1,2840.2421875,2016,2
DURG_2,0.02098650112748146,2016,2
DURG_3,3259.62109375,2016,2
DURG_4,1437.011962890625,2016,2
DURG_5,6016.859375,2016,2
DURG_6,21334.486328125,2016,2
DURG_7,6013.404296875,2016,2
DURG_8,105.15296173095703,2016,2
DURG_9,3853.585205078125,2016,2
DURG_10,43.3038330078125,2016,2
DURG_1,9872.8203125,2016,2
DURG_2,0.16075120866298676,2016,2
DURG_3,4254.4140625,2016,2
DURG_4,20134.38671875,2016,2
DURG_5,8793.611328125,2016,2
DURG_6,7812.76171875,2016,2
DURG_7,14533.443359375,2016,2
DURG_8,0.9115042686462402,2016,2
DURG_9,5680.33349609375,2016,2
DURG_10,2711.835693359375,2016,2
DURG_1,7769.2890625,2016,3
DURG_2,0.7634686827659607,2016,3
DURG_3,1584.84765625,2016,3
DURG_4,11560.197265625,2016,3
DURG_5,308.80322265625,2016,3
DURG_6,2456.2578125,2016,3
DURG_7,3979.04296875,2016,3
DURG_8,267.40179443359375,2016,3
DURG_9,1007.55224609375,2016,3
DURG_10,988.67626953125,2016,3
DURG_1,15290.09765625,2016,3
DURG_2,176.5380096435547,2016,3
DURG_3,9053.5693359375,2016,3
DURG_4,9831.4716796875,2016,3
DURG_5,4705.2353515625,2016,3
DURG_6,3379.796875,2016,3
DURG_7,1143.93359375,2016,3
DURG_8,684.9780883789062,2016,3
DURG_9,1147.316162109375,2016,3
DURG_10,499.20947265625,2016,3
DURG_1,271.26171875,2016,3
DURG_2,0.2141536921262741,2016,3
DURG_3,1463.083984375,2016,3
DURG_4,815.753173828125,2016,3
DURG_5,6131.5068359375,2016,3
DURG_6,22296.40234375,2016,3
DURG_7,5915.6953125,2016,3
DURG_8,106.43450927734375,2016,3
DURG_9,4590.662109375,2016,3
DURG_10,19.1177978515625,2016,3
DURG_1,9136.8984375,2016,3
DURG_2,0.0017024599947035313,2016,3
DURG_3,4062.89453125,2016,3
DURG_4,18893.41015625,2016,3
DURG_5,8958.8642578125,2016,3
DURG_6,7121.00390625,2016,3
DURG_7,13897.3798828125,2016,3
DURG_8,2.004270076751709,2016,3
DURG_9,5643.21142578125,2016,3
DURG_10,3023.92138671875,2016,3
DURG_1,2945.9765625,2016,4
DURG_2,0.31895750761032104,2016,4
DURG_3,623.271484375,2016,4
DURG_4,11762.3203125,2016,4
DURG_5,236.45751953125,2016,4
DURG_6,6289.64453125,2016,4
DURG_7,2793.80078125,2016,4
DURG_8,257.5028076171875,2016,4
DURG_9,1234.994140625,2016,4
DURG_10,167.454833984375,2016,4
DURG_1,20020.29296875,2016,4
DURG_2,172.4116973876953,2016,4
DURG_3,7154.2548828125,2016,4
DURG_4,10903.7939453125,2016,4
DURG_5,5229.50341796875,2016,4
DURG_6,3133.9140625,2016,4
DURG_7,3228.626953125,2016,4
DURG_8,733.2236938476562,2016,4
DURG_9,579.658203125,2016,4
DURG_10,1570.21630859375,2016,4
DURG_1,671.9765625,2016,4
DURG_2,0.5352909564971924,2016,4
DURG_3,4178.5078125,2016,4
DURG_4,537.586181640625,2016,4
DURG_5,6102.7001953125,2016,4
DURG_6,23120.08984375,2016,4
DURG_7,9254.7421875,2016,4
DURG_8,102.82117462158203,2016,4
DURG_9,3686.845458984375,2016,4
DURG_10,70.654296875,2016,4
DURG_1,12795.640625,2016,4
DURG_2,0.5274849534034729,2016,4
DURG_3,5727.806640625,2016,4
DURG_4,18806.220703125,2016,4
DURG_5,9027.2041015625,2016,4
DURG_6,10853.556640625,2016,4
DURG_7,5106.517578125,2016,4
DURG_8,1.3525185585021973,2016,4
DURG_9,4435.93359375,2016,4
DURG_10,3669.244140625,2016,4
DURG_1,7258.8828125,2017,1
DURG_2,173.7034454345703,2017,1
DURG_3,2188.65625,2017,1
DURG_4,56.435546875,2017,1
DURG_5,1057.7236328125,2017,1
DURG_6,7495.078125,2017,1
DURG_7,2613.564453125,2017,1
DURG_8,428.86669921875,2017,1
DURG_9,47.27880859375,2017,1
DURG_10,830.570068359375,2017,1
DURG_1,12182.0546875,2017,1
DURG_2,0.04236257076263428,2017,1
DURG_3,640.6923828125,2017,1
DURG_4,779.5986328125,2017,1
DURG_5,6531.15771484375,2017,1
DURG_6,12335.09375,2017,1
DURG_7,905.181640625,2017,1
DURG_8,2.375204086303711,2017,1
DURG_9,2333.885009765625,2017,1
DURG_10,326.368896484375,2017,1
DURG_1,1600.04296875,2017,1
DURG_2,0.02713526226580143,2017,1
DURG_3,6598.552734375,2017,1
DURG_4,658.4542236328125,2017,1
DURG_5,5960.8388671875,2017,1
DURG_6,22594.154296875,2017,1
DURG_7,5974.572265625,2017,1
DURG_8,107.34397888183594,2017,1
DURG_9,1061.001953125,2017,1
DURG_10,59.8465576171875,2017,1
DURG_1,18238.2890625,2017,1
DURG_2,0.4369223713874817,2017,1
DURG_3,564.73828125,2017,1
DURG_4,19865.580078125,2017,1
DURG_5,8734.318359375,2017,1
DURG_6,9049.892578125,2017,1
DURG_7,15122.033203125,2017,1
DURG_8,0.0895480066537857,2017,1
DURG_9,4534.818359375,2017,1
DURG_10,2797.025634765625,2017,1
DURG_1,12314.41796875,2017,2
DURG_2,129.49720764160156,2017,2
DURG_3,851.44140625,2017,2
DURG_4,4002.8115234375,2017,2
DURG_5,1119.7080078125,2017,2
DURG_6,11798.03515625,2017,2
DURG_7,4085.765625,2017,2
DURG_8,454.42236328125,2017,2
DURG_9,544.408203125,2017,2
DURG_10,363.85595703125,2017,2
DURG_1,16866.6328125,2017,2
DURG_2,0.37374719977378845,2017,2
DURG_3,1739.7138671875,2017,2
DURG_4,564.3623046875,2017,2
DURG_5,5997.56787109375,2017,2
DURG_6,14246.560546875,2017,2
DURG_7,2787.1875,2017,2
DURG_8,0.35974621772766113,2017,2
DURG_9,936.049072265625,2017,2
DURG_10,368.584716796875,2017,2
DURG_1,2119.43359375,2017,2
DURG_2,0.022068142890930176,2017,2
DURG_3,5388.978515625,2017,2
DURG_4,668.5831298828125,2017,2
DURG_5,5975.390625,2017,2
DURG_6,22468.791015625,2017,2
DURG_7,4280.083984375,2017,2
DURG_8,104.82322692871094,2017,2
DURG_9,1610.10107421875,2017,2
DURG_10,27.624267578125,2017,2
DURG_1,6549.125,2017,2
DURG_2,0.01554074790328741,2017,2
DURG_3,5269.572265625,2017,2
DURG_4,19800.310546875,2017,2
DURG_5,8918.732421875,2017,2
DURG_6,9400.490234375,2017,2
DURG_7,13331.232421875,2017,2
DURG_8,0.4979483485221863,2017,2
DURG_9,5425.07080078125,2017,2
DURG_10,2764.468017578125,2017,2
DURG_1,7584.74609375,2017,3
DURG_2,180.04400634765625,2017,3
DURG_3,1162.76171875,2017,3
DURG_4,3611.8271484375,2017,3
DURG_5,167.35498046875,2017,3
DURG_6,2543.390625,2017,3
DURG_7,4518.6953125,2017,3
DURG_8,520.7356567382812,2017,3
DURG_9,163.4541015625,2017,3
DURG_10,11.386474609375,2017,3
DURG_1,18525.796875,2017,3
DURG_2,0.3185798227787018,2017,3
DURG_3,618.5283203125,2017,3
DURG_4,644.030029296875,2017,3
DURG_5,3887.6376953125,2017,3
DURG_6,10422.03125,2017,3
DURG_7,2859.296875,2017,3
DURG_8,0.3721925914287567,2017,3
DURG_9,1367.199951171875,2017,3
DURG_10,351.286376953125,2017,3
DURG_1,265.86328125,2017,3
DURG_2,0.08075499534606934,2017,3
DURG_3,183.7431640625,2017,3
DURG_4,297.89013671875,2017,3
DURG_5,5906.50390625,2017,3
DURG_6,20025.212890625,2017,3
DURG_7,3326.423828125,2017,3
DURG_8,106.21211242675781,2017,3
DURG_9,1442.55615234375,2017,3
DURG_10,311.7064208984375,2017,3
DURG_1,9218.90625,2017,3
DURG_2,0.1375305950641632,2017,3
DURG_3,5124.88671875,2017,3
DURG_4,10336.5859375,2017,3
DURG_5,8941.9892578125,2017,3
DURG_6,12618.345703125,2017,3
DURG_7,11990.89453125,2017,3
DURG_8,1.6420530080795288,2017,3
DURG_9,5834.27685546875,2017,3
DURG_10,1945.064208984375,2017,3
DURG_1,1877.203125,2017,4
DURG_2,72.28495025634766,2017,4
DURG_3,1186.21875,2017,4
DURG_4,3213.2099609375,2017,4
DURG_5,1099.14111328125,2017,4
DURG_6,8256.07421875,2017,4
DURG_7,4875.87109375,2017,4
DURG_8,421.1353759765625,2017,4
DURG_9,76.011962890625,2017,4
DURG_10,424.12939453125,2017,4
DURG_1,18200.2109375,2017,4
DURG_2,0.18716304004192352,2017,4
DURG_3,3709.0625,2017,4
DURG_4,1108.991943359375,2017,4
DURG_5,4052.0751953125,2017,4
DURG_6,10368.400390625,2017,4
DURG_7,1781.048828125,2017,4
DURG_8,2.1270110607147217,2017,4
DURG_9,952.91259765625,2017,4
DURG_10,42.2431640625,2017,4
