,0,reporting_year,reporting_number
DURG_1,20188.93359375,2014,1
DURG_2,0.10590332001447678,2014,1
DURG_3,7540.779296875,2014,1
DURG_4,2031.1513671875,2014,1
DURG_5,1189.22802734375,2014,1
DURG_6,24789.876953125,2014,1
DURG_7,8356.26171875,2014,1
DURG_8,260.3938293457031,2014,1
DURG_9,5699.29345703125,2014,1
DURG_10,1203.885009765625,2014,1
DURG_1,12644.07421875,2014,1
DURG_2,0.05381488800048828,2014,1
DURG_3,6630.7724609375,2014,1
DURG_4,7454.4013671875,2014,1
DURG_5,7259.82763671875,2014,1
DURG_6,3327.41015625,2014,1
DURG_7,5743.55078125,2014,1
DURG_8,0.0336444228887558,2014,1
DURG_9,204.49072265625,2014,1
DURG_10,508.369384765625,2014,1
DURG_1,5869.3125,2014,1
DURG_2,0.13958804309368134,2014,1
DURG_3,6241.125,2014,1
DURG_4,864.13525390625,2014,1
DURG_5,6569.2080078125,2014,1
DURG_6,3460.95703125,2014,1
DURG_7,10327.7021484375,2014,1
DURG_8,108.09566497802734,2014,1
DURG_9,969.33642578125,2014,1
DURG_10,2490.59814453125,2014,1
DURG_1,74021.5859375,2014,1
DURG_2,0.10351145267486572,2014,1
DURG_3,26036.318359375,2014,1
DURG_4,20898.529296875,2014,1
DURG_5,12836.9560546875,2014,1
DURG_6,41184.5234375,2014,1
DURG_7,27609.18359375,2014,1
DURG_8,0.28475242853164673,2014,1
DURG_9,3449.443603515625,2014,1
DURG_10,5216.19580078125,2014,1
DURG_1,19847.890625,2014,2
DURG_2,0.10127458721399307,2014,2
DURG_3,5196.81640625,2014,2
DURG_4,4174.4716796875,2014,2
DURG_5,1371.7578125,2014,2
DURG_6,29408.775390625,2014,2
DURG_7,8857.7890625,2014,2
DURG_8,258.9423522949219,2014,2
DURG_9,5688.30126953125,2014,2
DURG_10,1480.2330322265625,2014,2
DURG_1,13909.84765625,2014,2
DURG_2,0.08291827142238617,2014,2
DURG_3,7519.4638671875,2014,2
DURG_4,7085.6123046875,2014,2
DURG_5,5891.50439453125,2014,2
DURG_6,3343.77734375,2014,2
DURG_7,5333.7900390625,2014,2
DURG_8,0.04612667113542557,2014,2
DURG_9,331.107421875,2014,2
DURG_10,42.682373046875,2014,2
DURG_1,5380.96484375,2014,2
DURG_2,0.12986986339092255,2014,2
DURG_3,6213.89453125,2014,2
DURG_4,1412.1796875,2014,2
DURG_5,6657.1533203125,2014,2
DURG_6,319.515625,2014,2
DURG_7,9944.4755859375,2014,2
DURG_8,79.6842269897461,2014,2
DURG_9,1911.4501953125,2014,2
DURG_10,2272.9345703125,2014,2
DURG_1,73556.6171875,2014,2
DURG_2,0.15623745322227478,2014,2
DURG_3,25974.60546875,2014,2
DURG_4,20936.96484375,2014,2
DURG_5,12826.810546875,2014,2
DURG_6,41032.10546875,2014,2
DURG_7,27659.99609375,2014,2
DURG_8,0.10671190172433853,2014,2
DURG_9,3484.45556640625,2014,2
DURG_10,5210.94482421875,2014,2
DURG_1,20128.75390625,2014,3
DURG_2,0.0729752853512764,2014,3
DURG_3,4542.765625,2014,3
DURG_4,6802.6171875,2014,3
DURG_5,1402.55322265625,2014,3
DURG_6,24878.134765625,2014,3
DURG_7,8470.28515625,2014,3
DURG_8,260.7640380859375,2014,3
DURG_9,6032.56591796875,2014,3
DURG_10,1271.477294921875,2014,3
DURG_1,14307.12890625,2014,3
DURG_2,0.04159906879067421,2014,3
DURG_3,7972.0224609375,2014,3
DURG_4,6326.19140625,2014,3
DURG_5,5659.69970703125,2014,3
DURG_6,6124.30859375,2014,3
DURG_7,5019.548828125,2014,3
DURG_8,0.7755992412567139,2014,3
DURG_9,207.26318359375,2014,3
DURG_10,126.51171875,2014,3
DURG_1,3664.5234375,2014,3
DURG_2,0.16447770595550537,2014,3
DURG_3,6223.216796875,2014,3
DURG_4,1202.3349609375,2014,3
DURG_5,6411.8740234375,2014,3
DURG_6,7057.96875,2014,3
DURG_7,10505.3154296875,2014,3
DURG_8,73.8996353149414,2014,3
DURG_9,1910.3310546875,2014,3
DURG_10,2291.0732421875,2014,3
DURG_1,74284.2109375,2014,3
DURG_2,0.03266238793730736,2014,3
DURG_3,26045.091796875,2014,3
DURG_4,20922.85546875,2014,3
DURG_5,12874.802734375,2014,3
DURG_6,41079.2265625,2014,3
DURG_7,27696.44921875,2014,3
DURG_8,0.41694366931915283,2014,3
DURG_9,3512.122802734375,2014,3
DURG_10,5237.408203125,2014,3
DURG_1,17061.91796875,2014,4
DURG_2,0.13075575232505798,2014,4
DURG_3,6807.470703125,2014,4
DURG_4,5534.7568359375,2014,4
DURG_5,1253.375,2014,4
DURG_6,28732.462890625,2014,4
DURG_7,8334.013671875,2014,4
DURG_8,260.37139892578125,2014,4
DURG_9,5778.39013671875,2014,4
DURG_10,1571.7066650390625,2014,4
DURG_1,11634.41796875,2014,4
DURG_2,0.05677563697099686,2014,4
DURG_3,8476.6259765625,2014,4
DURG_4,7925.33984375,2014,4
DURG_5,4930.5419921875,2014,4
DURG_6,5230.375,2014,4
DURG_7,5486.0537109375,2014,4
DURG_8,0.9627647399902344,2014,4
DURG_9,514.2822265625,2014,4
DURG_10,178.5390625,2014,4
DURG_1,352.8671875,2014,4
DURG_2,0.10685782879590988,2014,4
DURG_3,5921.755859375,2014,4
DURG_4,1610.30419921875,2014,4
DURG_5,5916.8798828125,2014,4
DURG_6,3125.94140625,2014,4
DURG_7,9232.4638671875,2014,4
DURG_8,6.281181335449219,2014,4
DURG_9,2870.4931640625,2014,4
DURG_10,2521.71533203125,2014,4
DURG_1,74308.8515625,2014,4
DURG_2,0.05718569830060005,2014,4
DURG_3,26105.83984375,2014,4
DURG_4,20940.984375,2014,4
DURG_5,12889.265625,2014,4
DURG_6,41376.375,2014,4
DURG_7,27754.2421875,2014,4
DURG_8,1.3037712574005127,2014,4
DURG_9,3527.168212890625,2014,4
DURG_10,5245.07275390625,2014,4
DURG_1,12587.6171875,2015,1
DURG_2,0.04034356772899628,2015,1
DURG_3,317.607421875,2015,1
DURG_4,4995.068359375,2015,1
DURG_5,1038.68994140625,2015,1
DURG_6,18308.37890625,2015,1
DURG_7,6909.849609375,2015,1
DURG_8,260.951416015625,2015,1
DURG_9,998.88037109375,2015,1
DURG_10,958.927001953125,2015,1
DURG_1,13463.05078125,2015,1
DURG_2,0.31485408544540405,2015,1
DURG_3,8318.2587890625,2015,1
DURG_4,877.672607421875,2015,1
DURG_5,7605.1787109375,2015,1
DURG_6,16102.328125,2015,1
DURG_7,3877.978515625,2015,1
DURG_8,122.42992401123047,2015,1
DURG_9,1218.736083984375,2015,1
DURG_10,1358.45556640625,2015,1
DURG_1,1084.03515625,2015,1
DURG_2,212.18719482421875,2015,1
DURG_3,4691.1640625,2015,1
DURG_4,9755.84765625,2015,1
DURG_5,6968.806640625,2015,1
DURG_6,3309.3046875,2015,1
DURG_7,11754.0537109375,2015,1
DURG_8,116.65402221679688,2015,1
DURG_9,3017.14013671875,2015,1
DURG_10,1527.5955810546875,2015,1
DURG_1,72569.234375,2015,1
DURG_2,0.06428328156471252,2015,1
DURG_3,25166.7421875,2015,1
DURG_4,20870.8984375,2015,1
DURG_5,12288.21484375,2015,1
DURG_6,36860.65234375,2015,1
DURG_7,27046.533203125,2015,1
DURG_8,1.0366978645324707,2015,1
DURG_9,2844.5927734375,2015,1
DURG_10,5112.109375,2015,1
DURG_1,17621.58984375,2015,2
DURG_2,0.1406078040599823,2015,2
DURG_3,1390.5625,2015,2
DURG_4,3253.6982421875,2015,2
DURG_5,868.53271484375,2015,2
DURG_6,22596.65234375,2015,2
DURG_7,6783.947265625,2015,2
DURG_8,260.1227111816406,2015,2
DURG_9,909.6025390625,2015,2
DURG_10,861.02734375,2015,2
DURG_1,15789.0546875,2015,2
DURG_2,0.007390613667666912,2015,2
DURG_3,8848.9990234375,2015,2
DURG_4,1320.82861328125,2015,2
DURG_5,7108.9677734375,2015,2
DURG_6,9205.60546875,2015,2
DURG_7,2791.96875,2015,2
DURG_8,238.3497772216797,2015,2
DURG_9,1455.6962890625,2015,2
DURG_10,1216.6962890625,2015,2
DURG_1,958.1796875,2015,2
DURG_2,183.8755645751953,2015,2
DURG_3,4875.935546875,2015,2
DURG_4,10356.140625,2015,2
DURG_5,7008.1025390625,2015,2
DURG_6,1945.70703125,2015,2
DURG_7,10194.919921875,2015,2
DURG_8,497.2955017089844,2015,2
DURG_9,2432.5263671875,2015,2
DURG_10,1364.5535888671875,2015,2
DURG_1,72643.0703125,2015,2
DURG_2,0.13092496991157532,2015,2
DURG_3,25952.224609375,2015,2
DURG_4,20871.568359375,2015,2
DURG_5,12731.119140625,2015,2
DURG_6,40884.6796875,2015,2
DURG_7,27595.044921875,2015,2
DURG_8,1.0599902868270874,2015,2
DURG_9,3325.412841796875,2015,2
DURG_10,5148.869140625,2015,2
DURG_1,17782.63671875,2015,3
DURG_2,0.08169130235910416,2015,3
DURG_3,1997.75,2015,3
DURG_4,4878.5283203125,2015,3
DURG_5,1335.08447265625,2015,3
DURG_6,23262.9453125,2015,3
DURG_7,7776.0068359375,2015,3
DURG_8,259.24200439453125,2015,3
DURG_9,749.53857421875,2015,3
DURG_10,1061.39208984375,2015,3
DURG_1,12128.046875,2015,3
DURG_2,0.024363137781620026,2015,3
DURG_3,11001.9990234375,2015,3
DURG_4,1256.15283203125,2015,3
DURG_5,6083.29296875,2015,3
DURG_6,17075.80078125,2015,3
DURG_7,2473.423828125,2015,3
DURG_8,128.61624145507812,2015,3
DURG_9,1928.1484375,2015,3
DURG_10,1040.668701171875,2015,3
DURG_1,1265.78125,2015,3
DURG_2,213.3924560546875,2015,3
DURG_3,5745.3046875,2015,3
DURG_4,9775.12890625,2015,3
DURG_5,6837.29443359375,2015,3
DURG_6,177.70703125,2015,3
DURG_7,9823.546875,2015,3
